"station","mm","dd","wday","mem","holiday","dur","avg","rev","n_AM","n_PM","n_tot","temp","rain"
76,"9",28,"Tuesday",0,0,14.0166666666667,14.0166666666667,3.3525,0,1,1,10.5,0.2
76,"10",10,"Sunday",1,0,79.1333333333333,39.5666666666667,NA,0,2,2,16.2,0
76,"11",1,"Monday",1,0,11.4,11.4,NA,0,1,1,8,0
76,"11",14,"Sunday",0,0,94.85,31.6166666666667,17.9775,0,3,3,4.1,3
78,"5",24,"Monday",0,1,116.4,38.8,21.21,1,1,3,14.4,0
78,"6",6,"Sunday",1,0,176.05,25.15,NA,0,7,7,24.5,0
78,"6",29,"Tuesday",1,0,66.6666666666667,22.2222222222222,NA,1,1,3,25.6,0
78,"8",9,"Monday",1,0,41.8166666666667,13.9388888888889,NA,0,3,3,25.2,0.2
78,"9",10,"Friday",0,0,30.8166666666667,30.8166666666667,5.8725,0,1,1,17.1,0.3
78,"9",25,"Saturday",1,0,35.0833333333333,35.0833333333333,NA,0,0,1,16.7,0
78,"10",15,"Friday",0,0,49.8666666666667,24.9333333333333,9.98,0,2,2,18.4,0
78,"10",23,"Saturday",1,0,129.233333333333,25.8466666666667,NA,0,4,5,4.9,0
79,"4",10,"Saturday",1,0,74.15,37.075,NA,1,1,2,16.4,0
79,"5",16,"Sunday",1,0,6.46666666666667,6.46666666666667,NA,0,1,1,15.8,0.3
79,"5",26,"Wednesday",1,0,11.4333333333333,11.4333333333333,NA,0,1,1,24,0.4
79,"6",6,"Sunday",1,0,111.416666666667,22.2833333333333,NA,1,4,5,24.5,0
79,"6",16,"Wednesday",0,0,5.93333333333333,5.93333333333333,2.14,1,0,1,15.2,0
79,"7",10,"Saturday",0,0,38.0333333333333,38.0333333333333,6.955,0,1,1,19,0
79,"8",13,"Friday",0,0,25.2333333333333,25.2333333333333,5.035,0,1,1,27,0.2
79,"8",14,"Saturday",1,0,63.4166666666667,21.1388888888889,NA,0,3,3,20.9,0.2
79,"9",2,"Thursday",1,0,65.5333333333333,32.7666666666667,NA,0,1,2,15.6,0
79,"9",29,"Wednesday",1,0,58.0666666666667,29.0333333333333,NA,0,0,2,11.2,0
79,"10",16,"Saturday",1,0,28.2333333333333,28.2333333333333,NA,0,0,1,15.8,18.7
86,"5",9,"Sunday",0,0,52.7166666666667,52.7166666666667,9.1575,0,1,1,11.4,0
86,"5",12,"Wednesday",0,0,56.2166666666667,18.7388888888889,12.1825,0,3,3,12,0
86,"5",18,"Tuesday",1,0,248.133333333333,17.7238095238095,NA,5,7,14,20,0
86,"5",30,"Sunday",0,0,73.0333333333333,18.2583333333333,15.955,0,2,4,13.6,0.9
86,"5",31,"Monday",1,0,216.483333333333,18.0402777777778,NA,4,4,12,15.7,0
86,"6",25,"Friday",1,0,163.4,13.6166666666667,NA,4,7,12,22.2,0
86,"7",1,"Thursday",0,1,224.7,28.0875,43.705,0,1,8,20.6,0
86,"7",3,"Saturday",0,0,29.9666666666667,14.9833333333333,6.995,1,1,2,16.5,0
86,"8",7,"Saturday",1,0,126.9,14.1,NA,1,2,9,23.6,0.8
86,"8",10,"Tuesday",0,0,62.4333333333333,12.4866666666667,15.615,2,2,5,26.5,10.4
86,"8",10,"Tuesday",1,0,184.633333333333,14.2025641025641,NA,3,8,13,26.5,10.4
86,"8",11,"Wednesday",0,0,48.35,16.1166666666667,11.0025,1,1,3,27,5
86,"9",7,"Tuesday",1,0,257.433333333333,14.3018518518519,NA,11,5,18,17.9,0
86,"9",15,"Wednesday",0,0,50.3166666666667,12.5791666666667,12.5475,1,2,4,17.6,11.1
86,"9",27,"Monday",1,0,189.116666666667,17.1924242424242,NA,4,4,11,13.6,3.1
86,"10",6,"Wednesday",0,0,18.9833333333333,18.9833333333333,4.0975,1,0,1,14.3,0
86,"10",8,"Friday",1,0,274.516666666667,14.4482456140351,NA,7,7,19,15.4,0
86,"10",12,"Tuesday",0,0,38.2166666666667,9.55416666666667,10.7325,1,3,4,18.5,0
86,"10",19,"Tuesday",1,0,136.033333333333,12.3666666666667,NA,8,3,11,8.8,0
86,"10",28,"Thursday",0,0,18.6166666666667,18.6166666666667,4.0425,1,0,1,7.9,0
92,"5",12,"Wednesday",0,0,21.3666666666667,10.6833333333333,5.705,0,2,2,12,0
92,"5",29,"Saturday",0,0,100.55,12.56875,25.0825,1,5,8,11.4,0
92,"6",28,"Monday",1,0,544.15,11.829347826087,NA,9,27,46,27,2.3
92,"7",12,"Monday",1,0,782.166666666667,12.8224043715847,NA,15,32,61,23.1,0
92,"7",26,"Monday",0,0,71.4833333333333,17.8708333333333,15.7225,1,2,4,23.5,0
92,"7",26,"Monday",1,0,623.033333333333,10.9304093567251,NA,11,37,57,23.5,0
92,"8",10,"Tuesday",1,0,611.116666666667,10.7213450292398,NA,11,36,57,26.5,10.4
92,"8",27,"Friday",0,0,258.95,15.2323529411765,60.0925,1,9,17,21.2,0
92,"9",9,"Thursday",1,0,753.816666666667,11.5971794871795,NA,22,28,65,19.5,1.6
92,"10",2,"Saturday",0,0,102,10.2,27.8,4,2,10,11.9,11.4
92,"10",13,"Wednesday",0,0,113.116666666667,10.2833333333333,30.7175,2,6,11,16.7,0
92,"10",19,"Tuesday",1,0,472.916666666667,10.0620567375887,NA,17,27,47,8.8,0
92,"10",29,"Friday",1,0,572.566666666667,10.6030864197531,NA,13,32,54,7.8,0
99,"4",21,"Wednesday",1,0,128.15,18.3071428571429,NA,5,2,7,1.1,6.2
99,"5",8,"Saturday",1,0,323.9,11.1689655172414,NA,4,21,29,11.7,0
99,"5",20,"Thursday",0,0,40.1333333333333,13.3777777777778,9.77,0,3,3,23.4,0
99,"5",24,"Monday",1,1,595.183333333333,14.1710317460317,NA,18,23,42,14.4,0
99,"6",14,"Monday",1,0,232,10.0869565217391,NA,8,13,23,20.6,7.8
99,"6",28,"Monday",1,0,341.516666666667,10.6723958333333,NA,9,17,32,27,2.3
99,"7",11,"Sunday",1,0,732.366666666667,14.9462585034014,NA,10,30,49,21,0
99,"7",13,"Tuesday",0,0,54.75,9.125,15.7125,3,2,6,23.2,5.8
99,"7",26,"Monday",0,0,69.25,23.0833333333333,14.1375,2,1,3,23.5,0
99,"8",7,"Saturday",0,0,190.733333333333,17.3393939393939,42.36,5,3,11,23.6,0.8
99,"8",23,"Monday",1,0,504.1,13.6243243243243,NA,15,18,37,26.7,0
