OBJECTID,Type,Lien,Nom,NUM_INDEX,SUPERFICIE,PROPRIETE,GESTION,COMPETENCE,TYPO1,TYPO2
5324,Parc,,Marguerite-Bourgeoys,0258-000,4.4420600966145,Ville de Montréal,Le Sud-Ouest,Arrondissement,Parc d'arrondissement,Parc de quartier
5325,Parc,des,Corroyeurs,1159-000,0.3180252239056985,Ville de Montréal,Le Sud-Ouest,Arrondissement,Parc d'arrondissement,Îlot de verdure
5326,Place,du,Vésinet,2629-000,0.052782876598802125,Ville de Montréal,Outremont,Arrondissement,Parc d'arrondissement,Îlot de verdure
5327,Parc,,Polyvalent Saint-Henri,0285-000,1.260657727687166,Commission scolaire,Commission scolaire,Gouvernement du Québec,Parc d'arrondissement,Parc école
5328,Parc,de l',Irlande,0265-000,0.09000799607437977,Ville de Montréal,Le Sud-Ouest,Arrondissement,Parc d'arrondissement,Parc de voisinage
5329,Parc,,Louis-Cyr,0279-000,1.1919081368262041,Ville de Montréal,Le Sud-Ouest,Arrondissement,Parc d'arrondissement,Parc de quartier
5330,,,Peel / Smith,1189-000,0.12165126334785173,Ville de Montréal,Le Sud-Ouest,Arrondissement,Parc d'arrondissement,Place publique
5331,Parc,,Émile-Berliner,0597-001,0.5712464357877094,Ville de Montréal,Le Sud-Ouest,Arrondissement,Parc d'arrondissement,Parc de voisinage
5332,,,Madeleine-Parent,1283-000,0.12645891066918874,Ville de Montréal,Le Sud-Ouest,Arrondissement,Parc d'arrondissement,Parc de voisinage
5333,Place,,Saint-Henri,0400-000,0.45389941693937774,Ville de Montréal,Le Sud-Ouest,Arrondissement,Parc d'arrondissement,Place publique
5334,Parc,,Saint-John-Bosco,0274-000,0.1876481026283384,Commission scolaire,Commission scolaire,Gouvernement du Québec,Parc d'arrondissement,Parc école
5335,Parc,,Émery-Sauvé,0349-000,0.3333987344871935,Ville de Montréal,Le Sud-Ouest,Arrondissement,Parc d'arrondissement,Parc de voisinage
5336,,,Joseph-Arthur-Cousineau,1641-344,0.023670061050691082,Ville de Montréal,Le Sud-Ouest,Arrondissement,Espace voirie,Îlot de voirie
5337,Parc,,Sainte-Cunégonde,0371-000,0.08664059483573087,Ville de Montréal,Le Sud-Ouest,Arrondissement,Parc d'arrondissement,Îlot de verdure
5338,Parc,de la,Congregation,0831-000,0.0810030934667342,Ville de Montréal,Le Sud-Ouest,Arrondissement,Autre espace vert,Espace vert
5339,Passage,,Albert-Millaire,0839-000,0.08479566310164217,Ville de Montréal,Le Sud-Ouest,Arrondissement,Espace voirie,Passage
5340,Parc,des,Hommes-Forts,0286-000,0.028274230615996453,Ville de Montréal,Le Sud-Ouest,Arrondissement,Parc d'arrondissement,Place publique
5341,Parc,des,Hommes-Forts,0286-000,0.03390957632641761,Ville de Montréal,Le Sud-Ouest,Arrondissement,Parc d'arrondissement,Place publique
5342,Parc,des,Jazzmen,0516-000,0.2501585514061359,Ville de Montréal,Le Sud-Ouest,Arrondissement,Parc d'arrondissement,Îlot de verdure
5343,Parc,des,Métallos,0344-000,0.14349963546224334,Ville de Montréal,Le Sud-Ouest,Arrondissement,Parc d'arrondissement,Îlot de verdure
5344,Passage,,Chatham,0620-046,0.022203112497891808,Ville de Montréal,Le Sud-Ouest,Arrondissement,Espace voirie,Passage
5345,,,"Lionel-Groulx, Métro-Station",0571-132,1.41761777968133,Ville de Montréal,Le Sud-Ouest,Arrondissement,Parc d'arrondissement,Place publique
